video_id,title,category,tool,makes,models,year_start,year_end,source_count,youtube_url
p3c5N2ZrnNY,Alfa Romeo stelvio/gulia SGW install,bypass,,Alfa Romeo,Stelvio,,,1,https://www.youtube.com/watch?v=p3c5N2ZrnNY
1gvideReALA,Alfa Romeo Giulia/Stelvio Battery Post Cleaning and Starter Relay Location,other,,Alfa Romeo,Stelvio|Giulia,,,1,https://www.youtube.com/watch?v=1gvideReALA
rJD0JnAnYjw,"How To Fix Alfa Romeo “Key Fob Not Detected” – Battery, Proximity Antenna & Reset",tutorial,,Alfa Romeo,,,,1,https://www.youtube.com/watch?v=rJD0JnAnYjw
sSdXBVJJLQo,Xhorse XDMQBAGL MQB48 Adapter (Work with MLB TOOL) Add Key Tutorial,add_key,Xhorse,Audi|Ram,,,,2,https://www.youtube.com/watch?v=sSdXBVJJLQo
9hVLLe5D29g,MLB TOOL - MQB Feature: MQB48 Add Key,add_key,,Audi|Ram,A4,,,1,https://www.youtube.com/watch?v=9hVLLe5D29g
3czWCzvjMh0,Audi Q7 All Keys Lost,akl,,Audi,Q7,,,1,https://www.youtube.com/watch?v=3czWCzvjMh0
PmXKZBjrNV8,AUTEL IM608 PRO - AUDI Q5 (ALL KEYS LOST),akl,Autel,Audi,Q5|Q7,,,1,https://www.youtube.com/watch?v=PmXKZBjrNV8
XFNxvUqqHbY,Im608 PRO How To Do All Keys Lost AUDI A4 2013,akl,Autel,Audi|Ram,A4,2013,2013,2,https://www.youtube.com/watch?v=XFNxvUqqHbY
BkKovHOJ98Y,AUTEL IM608 PRO | How to do All Keys Lost on Audi A4 2015,akl,Autel,Audi|Ram,A4,2015,2015,1,https://www.youtube.com/watch?v=BkKovHOJ98Y
mw5ZVZ9y6Ew,"Audi A3 MQB All Keys Lost | New Solution to Get Sync Data | VVDI2, VVDI PROG, Autel",akl,Autel,Audi,,,,1,https://www.youtube.com/watch?v=mw5ZVZ9y6Ew
0bm2e_NJa0M,Program Audi BCM2 Encrypted All Keys Lost with Autel IM508 and APB131,akl,Autel,Audi|Ram,Q7,,,2,https://www.youtube.com/watch?v=0bm2e_NJa0M
rPITyDlJ504,"MQB Audi A3 All Keys Lost 2016 | Key Programming & Immobilizer Data Extraction with VVDI2,VVDI Prog",akl,Xhorse,Audi|Ram,,2016,2016,2,https://www.youtube.com/watch?v=rPITyDlJ504
S4Cfy7oqz2o,2015 Audi A4 BCM2 All Keys Lost Programmed with VVDI2 VVDI Prog and Xhorse BCM2 Adapters,akl,Xhorse,Audi|Ram,A4,2015,2015,5,https://www.youtube.com/watch?v=S4Cfy7oqz2o
KsE6-GCKtZI,HOW TO PROGRAM A KEY FOR 2009 - 2014 AUDI A4 AKL USING AUTEL IM508 & XP400,akl,Autel,Audi|Ram,A4,2014,2014,1,https://www.youtube.com/watch?v=KsE6-GCKtZI
2YXl2nhqY78,2014 AUDI A4 ALL KEYS LOST w/ENCRYPTED BCM2 USING AUTEL IM608,akl,Autel,Audi|Ram,A4,2014,2014,2,https://www.youtube.com/watch?v=2YXl2nhqY78
CiOvXvrlTSA,Audi Q7 2013 All Keys Lost Procedure | ECU Removal | Autel & VVDI2 Tutorial,akl,Autel,Audi|Ram,Q7,2013,2013,2,https://www.youtube.com/watch?v=CiOvXvrlTSA
i8qjkzIytRc,"Open and Start Audi Q7 and Q8 with a dead key fob battery, 2019 and newer.",battery,,Audi,Q7,2019,2019,3,https://www.youtube.com/watch?v=i8qjkzIytRc
kTk-dwX6kpY,"Open and Start an Audi Q7, post 2016, with a dead key fob battery.",battery,,Audi,Q7,2016,2016,1,https://www.youtube.com/watch?v=kTk-dwX6kpY
tOeUWecOBdM,"Replace remote fob battery in Audi S4, S5, S6, Q5, Q7 and S8",battery,,Audi|Ram,Q5|Q7|A4,,,2,https://www.youtube.com/watch?v=tOeUWecOBdM
6o14L4cTedI,How to use AUDI BCM2 Adapter with VVDI 2 & VVDI PROG | Xhorse,bcm,Xhorse,Audi|Ram,A4,,,7,https://www.youtube.com/watch?v=6o14L4cTedI
DfLyjepxBGg,How to Use AO.D BCM2 Solder-Free Adapter | Xhorse,bcm,Xhorse,Audi|Ram,A4,,,4,https://www.youtube.com/watch?v=DfLyjepxBGg
rL4O87IlaT8,How to use AUDI BCM2 Adapter with VVDI 2 & VVDI PROG | Xhorse,bcm,Xhorse,Audi|Ram,A4,,,2,https://www.youtube.com/watch?v=rL4O87IlaT8
6x6lZ1AF2zo,Audi BCM2 Encrypted Version Detection using Autel IM608 Pro2,bcm,Autel,Audi|Ram,Q7,,,2,https://www.youtube.com/watch?v=6x6lZ1AF2zo
mdknAi0zl6Q,Read BCM2 Module Using Multi-PROG No Soldering | Xhorse,bcm,Xhorse,Audi|Ram,A4,,,1,https://www.youtube.com/watch?v=mdknAi0zl6Q
0OfiIqKtpUc,how to remove the cabin computer BCM Audi 1 9 / как снять компьютер салона BCM Audi 1 9,bcm,,Audi|Ram,A4,,,1,https://www.youtube.com/watch?v=0OfiIqKtpUc
bPwmoKi2sjs,AUDI A8L 2016 - READ ENCRYPTED BCM2 - Adapter method - XHORSE,bcm,Xhorse,Audi|Porsche,,2016,2016,1,https://www.youtube.com/watch?v=bPwmoKi2sjs
g5OrkVzBUYI,Access VW & Audi Security Gateway on Autel Tablets,bypass,Autel,Audi|Volkswagen,Tiguan,,,1,https://www.youtube.com/watch?v=g5OrkVzBUYI
F6W1m8nCTcs,How to Unlock SFD-Protected Modules in Under 3 Minutes | XT90 for VW/Audi #AutoRepair #VWDiagnostics,diagnostic,,Audi|Volkswagen|Ram,Q7|A4,,,4,https://www.youtube.com/watch?v=F6W1m8nCTcs
xLKNg4yioFk,VCDS Key Remote Adaptation for VW and Audi,other,,Audi|Volkswagen,Atlas|Tiguan|Jetta,,,2,https://www.youtube.com/watch?v=xLKNg4yioFk
5bXVdhJMpMo,MQB-RH850V850 Adapter Read 3426 Dashboard Using KEY TOOL PLUS | Xhorse,other,Xhorse,Audi,,,,2,https://www.youtube.com/watch?v=5bXVdhJMpMo
U-bM2dKaWEA,** AUDI BOSCH MG1 ECU CRACKED FIRST BENCH READ ** AUDI B9 RS4 ECU READ WITH AUTOTUNER,other,,Audi,A4,,,1,https://www.youtube.com/watch?v=U-bM2dKaWEA
JcYl6TvZr3g,AUDI Q7 CHASSIS CONTROL MODULE LOCATION,other,,Audi,Q7|A4|A6,,,2,https://www.youtube.com/watch?v=JcYl6TvZr3g
khODrtaucB8,Location of Antenna Amplifier - Audi A6 S6 RS6 - C5 - 1997-2005 - TOTAL TECHNIK,other,,Audi,A4|A6,,,2,https://www.youtube.com/watch?v=khODrtaucB8
zC19VcUVfbE,Which Audi RS3 is Better? 8V vs 8Y Real Differences and Driving Impressions!,other,,Audi,,,,1,https://www.youtube.com/watch?v=zC19VcUVfbE
BwSInqpwKVg,VAG MQB48 Data Collecting Using Xhorse VVDI Key Tool Plus For Immo Data / Syncro File MK3 Service,other,Xhorse,Audi,,,,1,https://www.youtube.com/watch?v=BwSInqpwKVg
f5TSmm7C6ig,Private and public charging - Locking and unlocking charging cable,other,,Audi|Ram,Q5,,,2,https://www.youtube.com/watch?v=f5TSmm7C6ig
Y8qB2jolSpA,Audi Q5 power tailgate lift motor repair,other,,Audi|Ram,Q5,,,2,https://www.youtube.com/watch?v=Y8qB2jolSpA
BPxQt_GnsPk,Tailgate Trim Panel Removal Audi Q5 B9,other,,Audi|Ram,Q5|A4,,,3,https://www.youtube.com/watch?v=BPxQt_GnsPk
UHuVVzOH-xM,Audi Q5 PHEV Battery Fire Risk Recall 93AA – Software Fix (2022-2023),other,,Audi|Ram,Q5,2022,2023,2,https://www.youtube.com/watch?v=UHuVVzOH-xM
UjFOgOrcnoY,Audi cluster causes immobiliser issue diag + repair✅️,other,,Audi,,,,2,https://www.youtube.com/watch?v=UjFOgOrcnoY
fQ9MBomrU2o,"VW Audi Instrument Cluster Bench Harness make your own (Audi TT, A3 S3, Audi A4, VW Golf, Bora MK4)",other,,Audi|Volkswagen,A4,,,2,https://www.youtube.com/watch?v=fQ9MBomrU2o
ZZ8I9meOm08,"A Tiny £2 Part Shut Down a £60,000 Audi e-tron… Here's How.",other,,Audi|Ram,,,,2,https://www.youtube.com/watch?v=ZZ8I9meOm08
XSRX2cESQ90,In depth tool comparison between Autel IM508 / XHorse Key Tool Plus and Smart Pro,other,Autel,Audi|Ram,,,,3,https://www.youtube.com/watch?v=XSRX2cESQ90
wHIJXWLlXuI,Audi Kitchener-Waterloo: Access Your e-tron With a Dead Battery,other,,Audi|Ram,,,,2,https://www.youtube.com/watch?v=wHIJXWLlXuI
jLHLFQ6a2V4,Audi A4 Tailgate Panel And Spoiler Removal,other,,Audi|Ram,A4,,,1,https://www.youtube.com/watch?v=jLHLFQ6a2V4
0LbpyArrOU0,Xhorse VVDI MLB TOOL MQB48 Adapter- Add MQB48 Key without Removing Dash,other,Xhorse,Audi|Ram,A4,,,1,https://www.youtube.com/watch?v=0LbpyArrOU0
f--Iwv6ehj4,How to use AUDI BCM2 Adapter with KEY TOOL PLUS Car Key Programmer | Xhorse VVDI,programming,Xhorse,Audi|Ram,Q7,,,3,https://www.youtube.com/watch?v=f--Iwv6ehj4
Na_USushH3o,How To Perform Key Learning for Audi Q5 using Autel IM608 Key Programmer,programming,Autel,Audi|Ram,Q5|Q7,,,3,https://www.youtube.com/watch?v=Na_USushH3o
1WcHpl9upYg,Audi A4 – 5th Gen IMMO Key Programming | BCM2 Coding & Dealer Key Preparation,programming,,Audi|Ram,A4,,,4,https://www.youtube.com/watch?v=1WcHpl9upYg
4_pGjEtu8g8,TIP WHEN PROGRAMMING A KEY ON AUDI THAT USES THE BDC2 SYSTEM HOW TO AVOID DISCONNECTING THE BCM2,programming,,Audi|Ram,A4,,,1,https://www.youtube.com/watch?v=4_pGjEtu8g8
pHETT1dbqT8,How to Use AO.D BCM2 Solder-Free Adapter VW/Audi key programming Xhorse,programming,Xhorse,Audi|Volkswagen|Ram,Q5|Q7,,,8,https://www.youtube.com/watch?v=pHETT1dbqT8
yQvB59bQMgM,Audi Key Programming Tutorial: How to Add an Extra Key Using ODIS,programming,ODIS,Audi|Ram,Q7,,,2,https://www.youtube.com/watch?v=yQvB59bQMgM
nlNF03RLe1I,Audi VW ECU programming from original to good donor ECM.,programming,,Audi|Volkswagen|Ram,Q7,,,2,https://www.youtube.com/watch?v=nlNF03RLe1I
wTBubg7lSDE,How To Use Xhorse MLB TOOL w VVDI 2 Key Programmer & Software,programming,Xhorse,Audi|Ram,,,,2,https://www.youtube.com/watch?v=wTBubg7lSDE
terix3eJwfs,Audi - New Car Key Programming Procedure Demo,programming,,Audi|Ram,,,,2,https://www.youtube.com/watch?v=terix3eJwfs
jfrvzJuF14g,How to Program Audi Keys with Autel IM608,tutorial,Autel,Audi|Ram,Q7|A4,,,3,https://www.youtube.com/watch?v=jfrvzJuF14g
oCJp5nGxibk,Audi Key Fob Remote Keyless Battery Change - HOW TO DIY,tutorial,,Audi|Ram,A4,,,2,https://www.youtube.com/watch?v=oCJp5nGxibk
jL_fhrw96bk,How to Use Xhorse MLB Tool with Key Tool Plus | Complete Step-by-Step Guide,tutorial,Xhorse,Audi|Ram|Tesla,A4,,,4,https://www.youtube.com/watch?v=jL_fhrw96bk
azHUPKGybCs,How to Use Xhorse MLB Tool with VVDI2 | Complete Step by Step Guide,tutorial,Xhorse,Audi|Ram,A4,,,1,https://www.youtube.com/watch?v=azHUPKGybCs
6S5k1uuVXPs,How to read and use VW Audi circuit wiring diagrams. Current Flow Diagrams Skoda Seat Bentley help,tutorial,,Audi|Volkswagen|Ram,,,,1,https://www.youtube.com/watch?v=6S5k1uuVXPs
o2f7hZ2oZmg,Is the 8Y Audi RS3 better than the 8V Audi RS3 (Car Review),tutorial,,Audi,,,,1,https://www.youtube.com/watch?v=o2f7hZ2oZmg
HDzCFBHQUUc,How to program smart key for 2013 Audi Q3 with LONSDOR K518,tutorial,Lonsdor,Audi|Ram,,2013,2013,1,https://www.youtube.com/watch?v=HDzCFBHQUUc
wd0KJqvJViI,How to use the TCU OBD + Bench Master SW package,tutorial,,Audi,Q7,,,2,https://www.youtube.com/watch?v=wd0KJqvJViI
PoZpsIw1zms,"How to distinguish HU162T 8-Cut, 9-Cut and 10-Cut keys?",tutorial,,Audi,Q7,,,2,https://www.youtube.com/watch?v=PoZpsIw1zms
aWrs61AydTg,How to Read Pin and CS Code for Audi/Skoda/VW PCR2.1 ECU by Autel 508 and G-box 3 ‪@justautosolutions‬,tutorial,Autel,Audi|Volkswagen,,,,2,https://www.youtube.com/watch?v=aWrs61AydTg
KUvPqMzOcqI,Beginner's Tutorial: How to Build a ME 7.1 to ME 7.5 Bench Harness for Audi/VW ECMs,tutorial,,Audi|Volkswagen,,,,2,https://www.youtube.com/watch?v=KUvPqMzOcqI
esPCLa_pTV8,Audi Key Fob Buying Guide: The Difference Between OEM and Knockoff Remotes,tutorial,,Audi,,,,2,https://www.youtube.com/watch?v=esPCLa_pTV8
Vm4c872kqI0,Audi Key Fob Remote Not Working? - How To Program It DIY- 2008-2016,tutorial,,Audi|Ram,,2016,2016,2,https://www.youtube.com/watch?v=Vm4c872kqI0
SGg5wnS0ol8,HOW TO JUMP A 2018 AUDI A3 E-TRON HYBRID,tutorial,,Audi|Ram,,2018,2018,2,https://www.youtube.com/watch?v=SGg5wnS0ol8
hngWgksOarE,How to remove tailgate cover trim Audi A4/S4 Avant DIY,tutorial,,Audi|Ram,A4,,,1,https://www.youtube.com/watch?v=hngWgksOarE
NUFMHVBaUmA,How to Program Four Keys to a 2019 Audi SQ5!! MLB KYDZ Locksmith Method,tutorial,,Audi|Ram,Q5,2019,2019,1,https://www.youtube.com/watch?v=NUFMHVBaUmA
T9V6VvtzuGY,Programming a Spare Key to a CAS 4 on a 2015 BMW 5 Series | ACDP Module 1 CAS 1-4+,add_key,Yanhua ACDP,BMW|Ram,5 Series,2015,2015,1,https://www.youtube.com/watch?v=T9V6VvtzuGY
Q8duzU995YA,How to use Xhorse Key Tool Plus Add key With Godiag FEM/BDC Test Platform,add_key,Xhorse,BMW|Ram,X3,,,1,https://www.youtube.com/watch?v=Q8duzU995YA
qSdFblyIh44,HOW TO PROGRAM A KEY FOR 2014-2018 BMW X5 ADD A KEY ALL OBD (AKL NEED ISM) USING AUTEL IM508 & X400,akl,Autel,BMW|Ram,X5,2014,2018,1,https://www.youtube.com/watch?v=qSdFblyIh44
wr16mivvRt4,How to Recover BMW and Audi All Key Lost with VVDI2 & KEY TOOL PLUS?,akl,Xhorse,BMW|Audi|Ram,,,,4,https://www.youtube.com/watch?v=wr16mivvRt4
fIn9CAbRTnU,(673) BMW FEM All Keys Lost on Bench,akl,,BMW,,,,1,https://www.youtube.com/watch?v=fIn9CAbRTnU
aiwW7YvCYwM,2015 BMW F10 (CAS4 )All Keys Lost- Key programming with AVDI,akl,,BMW|Ram,,2015,2015,1,https://www.youtube.com/watch?v=aiwW7YvCYwM
uHue5CjEr_c,MERCEDES BENZ ESL ELV PROGRAMMING & EIS W207 ALL KEYS LOST (AUTEL IM608 PRO GBOX2),akl,Autel,BMW|Mercedes-Benz|Ram,,,,2,https://www.youtube.com/watch?v=uHue5CjEr_c
qhzj6YPeTrk,2009 BMW X5 CAS3++ (ISTAP) All Keys Lost using IM608 Pro2,akl,Autel,BMW,X5,,,2,https://www.youtube.com/watch?v=qhzj6YPeTrk
ZhvxqDADX9M,CAS3++ ISTAP ALL KEYS LOST! REPAIR corrupt module! ISN code TC1767 BMW MINI AUTEL IM608 XP400,akl,Autel,BMW|MINI,,,,1,https://www.youtube.com/watch?v=ZhvxqDADX9M
OQu1lQcW6SQ,How to Start a BMW with a Dead Key Fob,battery,,BMW,X5,,,1,https://www.youtube.com/watch?v=OQu1lQcW6SQ
EieCawaq7xw,2024-2025 BMW X5 Key Fob Battery Replacement - EASY DIY,battery,,BMW,X5,2024,2025,1,https://www.youtube.com/watch?v=EieCawaq7xw
ulIgQNUSNHk,What Is This? Secure Gateway (SGW) Module Explained and How To Beat It,bypass,,BMW,,,,1,https://www.youtube.com/watch?v=ulIgQNUSNHk
1F6kL_ds-7Q,Your Fast Path to Full Diagnostic Access on Today's SGW-Protected Vehicles,bypass,,BMW|Ram,X3,,,1,https://www.youtube.com/watch?v=1F6kL_ds-7Q
lKUO-W8E8j4,How To: PROGRAM your BMW KEYS AT HOME (No More Dead Key Battery!),emergency,,BMW|Ram,X5,,,1,https://www.youtube.com/watch?v=lKUO-W8E8j4
d-KYV2NuDTY,BMW/MINI FEM/BDC Module Opening,other,,BMW|MINI,X5,,,1,https://www.youtube.com/watch?v=d-KYV2NuDTY
Ns5Qkq7veRg,BMW X5 (G05) ignition on with engine off,other,,BMW,X5,,,1,https://www.youtube.com/watch?v=Ns5Qkq7veRg
S8tn39JQtbY,Yanhua Mini ACDP: BMW BDC2 All-Keys-Lost - World's First - No tokens/subs!,other,Yanhua ACDP,BMW|MINI|Ram,X5,,,6,https://www.youtube.com/watch?v=S8tn39JQtbY
_cSTBiwY7HE,"Booting Automotive ECUs Really Fast with Modern Security Features - Brendan Le Foll, BMW Car IT GmbH",other,,BMW,,,,1,https://www.youtube.com/watch?v=_cSTBiwY7HE
s0d7D1PK4mk,"CGDI K2 Copies BMW BDC2, BDC3 & BCP Keys Without Removal | 2026 Update",other,,BMW,,2026,2026,1,https://www.youtube.com/watch?v=s0d7D1PK4mk
9NjMqm5J__U,KEYDIY KD-X4 Program BMW BDC3 Keys with a solder-free clip | KeyShop-Online,other,KEYDIY,BMW|Ram,,,,1,https://www.youtube.com/watch?v=9NjMqm5J__U
ssnZgwadcWw,BMW's iDrive 7 System - Everything You Need To Know,other,,BMW,,,,1,https://www.youtube.com/watch?v=ssnZgwadcWw
zNK1n1frZ_k,Godiag BMW BDC3 BCP Test Platform- OBDII365,other,,BMW|Ram,,,,1,https://www.youtube.com/watch?v=zNK1n1frZ_k
rTPjhZBuN6c,Read BMW ISN on Bench Using KEY TOOL PLUS | Xhorse,other,Xhorse,BMW|Ram,,,,1,https://www.youtube.com/watch?v=rTPjhZBuN6c
-JVunrRmwJA,Bench unlock your DME It's THAT easy #bmw #g30 #550i #g80 #m3 #m3 #femto,other,,BMW|Ram,G80,,,1,https://www.youtube.com/watch?v=-JVunrRmwJA
8tx5BEB3qR0,Read BMW ISN on Bench Using KEY TOOL PLUS | Xhorse,other,Xhorse,BMW,,,,1,https://www.youtube.com/watch?v=8tx5BEB3qR0
1ujk99lee8U,"BMW 5 Series 2012 F10 to 2024 G30 M5 Conversion | Custom Interior, Exterior, Performance Upgrades",other,,BMW,5 Series,2012,2024,1,https://www.youtube.com/watch?v=1ujk99lee8U
i4iHB-6DepQ,Setting Up A BMW Digital Key Plus for iPhone | BMW How-To,other,,BMW,,,,1,https://www.youtube.com/watch?v=i4iHB-6DepQ
Y6z-kz7ApUk,How BMW G/U Chassis BDC3 Key Clone Function Works? | Xhorse,other,Xhorse,BMW,,,,1,https://www.youtube.com/watch?v=Y6z-kz7ApUk
8feV7p6WwlQ,"CAS1, CAs2 & CAS3 Key Unlocking - Autel IM508, XP400 Pro, APB113 Adapter",other,Autel,BMW|Ram,X3,,,1,https://www.youtube.com/watch?v=8feV7p6WwlQ
WjDdzV3ZQqE,VVDI BIMTool Cas3+ ISTAP Downgrade Over OBD Success FINALLY!,other,Xhorse,BMW|MINI,,,,2,https://www.youtube.com/watch?v=WjDdzV3ZQqE
mrqBvFnNNzw,Xhorse Cas Plug Adapter vvdi2 Bimtool Pro Finally Works,other,Xhorse,BMW|MINI,,,,1,https://www.youtube.com/watch?v=mrqBvFnNNzw
wwKCDcFS7Xw,BMW CAS3 Bench Downgrade Cgdi Istap Cas3+,other,,BMW|MINI,,,,1,https://www.youtube.com/watch?v=wwKCDcFS7Xw
pqLIYLx2hDk,BMW E90 E92 CAS Module Location & Diagnosis (Car Access System),other,,BMW|MINI,,,,1,https://www.youtube.com/watch?v=pqLIYLx2hDk
cvRSBSpP0ro,Mini Cooper cas removal easier,other,,BMW|MINI,,,,1,https://www.youtube.com/watch?v=cvRSBSpP0ro
Xp_bkBUVfmk,2006-2014 Mini Cooper DME and CAS location,other,,BMW|MINI,,2014,2014,1,https://www.youtube.com/watch?v=Xp_bkBUVfmk
zGW1J8ADgjg,"video_url: """,other,,BMW,,,,1,https://www.youtube.com/watch?v=zGW1J8ADgjg
15vElV0dKuA,"video_url: """,other,,BMW,,,,1,https://www.youtube.com/watch?v=15vElV0dKuA
P4CtG85HUcw,"video_url: """,other,,BMW,,,,1,https://www.youtube.com/watch?v=P4CtG85HUcw
eRvH9XU-nEw,"forum_source: """,other,,BMW,,,,1,https://www.youtube.com/watch?v=eRvH9XU-nEw
