make,model,year_start,year_end,chip_type,chip_family,clonable,clone_tools,if_not_clonable_method,notes
Toyota,Corolla,2020,2024,8A-BA,Texas DST-AES,No,,OBD (Need Adapter),BA System requires star connector
Honda,Accord,2003,2007,ID48,Megamos Crypto,Yes,ID48 Clone (Server),,Requires 96-bit clone
Honda,Accord,2008,2012,ID46,Philips Hitag2,Yes,"CN3,TPX4,XT27",,Circle Plus
Honda,Accord,2013,2017,ID47,HITAG3,No,,OBD Add Key,Smart Key system 1
Honda,Accord,2018,2024,ID4A,HITAG-AES,No,,OBD Programming,New style smart key
Honda,Civic,2006,2011,ID46,Philips Hitag2,Yes,"CN3,TPX4,XT27",,N5F01 Remote
Honda,Civic,2012,2015,ID46,Philips Hitag2,Yes,"CN3,TPX4,XT27",,High security internal cut
Honda,Civic,2016,2021,ID47,HITAG3,No,,OBD Programming,Smart key
Ram,1500,2002,2005,4D-64,Texas Crypto,Yes,"CN2,TPX2",,Old Chrysler key
Ram,1500,2006,2008,ID46,Philips Crypto 2,Yes,"CN3,TPX4",,Remote Head Key (Y164)
Ram,1500,2009,2012,ID46,Philips Crypto 2,Yes,"CN3,TPX4",,Fobik System (Pod Key avail)
Ram,1500,2013,2018,ID46,Philips Crypto 2,Yes,"CN3,TPX4",,Fobik or Smart Key
Ram,1500,2019,2024,ID4A,HITAG-AES,No,,OBD w/ Bypass,Requires SGW Bypass + Star Connector
Nissan,Altima,2002,2006,ID46,Philips Hitag2,Yes,"CN3,TPX4",,Key ignition
Nissan,Altima,2007,2012,ID46,Philips Hitag2,Yes,"CN3,TPX4",,Intel-Key (Slot)
Nissan,Altima,2013,2018,ID46,Philips Hitag2,Yes,"CN3,TPX4",,Smart Key (Prox)
Nissan,Altima,2019,2024,ID4A,HITAG-AES,No,,OBD Programming,New Smart Key (Continental)
Nissan,Rogue,2008,2013,ID46,Philips Hitag2,Yes,"CN3,TPX4",,Twist knob or Key
Nissan,Rogue,2014,2020,ID46,Philips Hitag2,Yes,"CN3,TPX4",,Smart Key
Nissan,Rogue,2021,2024,ID4A,HITAG-AES,No,,OBD Programming,New platform
Jeep,Wrangler,2007,2018,ID46,Philips Crypto 2,Yes,"CN3,TPX4",,Remote Head Key (Y164)
Jeep,Wrangler,2018,2024,ID4A,HITAG-AES,No,,OBD w/ Bypass,JL Body style (SGW)
Jeep,Grand Cherokee,2005,2007,ID46,Philips Crypto 2,Yes,"CN3,TPX4",,Remote Head Key
Jeep,Grand Cherokee,2008,2013,ID46,Philips Crypto 2,Yes,"CN3,TPX4",,Fobik System
Jeep,Grand Cherokee,2014,2021,ID46,Philips Crypto 2,Yes,"CN3,TPX4",,Smart Key (Hitag2)
Jeep,Grand Cherokee L,2021,2024,ID4A,HITAG-AES,No,,OBD w/ Bypass,WL Body style
GMC,Acadia,2007,2007,ID46,Philips Crypto 2 (Hitag2),Yes,"Keyline 884, JMA TRS-5000",OBD Add Key (PIN Required),Transponder key (Philips ID46 chip)[1][2]
GMC,Acadia,2008,2008,ID46,Philips Crypto 2 (Hitag2),Yes,"Keyline 884, JMA TRS-5000",OBD Add Key (PIN Required),Transponder key (Philips ID46 chip)[1][3]
GMC,Acadia,2009,2009,ID46,Philips Crypto 2 (Hitag2),Yes,"Keyline 884, JMA TRS-5000",OBD Add Key (PIN Required),"Transponder key, clonable on universal chips[1][3]"
GMC,Acadia,2010,2010,ID46,Philips Crypto 2 (Hitag2),Yes,"Keyline 884, JMA TRS-5000",OBD Add Key,"Transponder key, Philips Crypto2 ID46"
GMC,Acadia,2011,2011,ID46,Philips Crypto 2 (Hitag2),Yes,"Keyline 884, JMA TRS-5000",OBD Add Key,Transponder key
GMC,Acadia,2012,2012,ID46,Philips Crypto 2 (Hitag2),Yes,"Keyline 884, JMA TRS-5000",OBD Add Key,Transponder key
GMC,Acadia,2013,2013,ID46,Philips Crypto 2 (Hitag2),Yes,"Keyline 884, JMA TRS-5000",OBD Add Key,Transponder key
GMC,Acadia,2014,2014,ID46,Philips Crypto 2 (Hitag2),Yes,"Keyline 884, JMA TRS-5000",OBD Add Key,Transponder key (keyed ignition)
GMC,Acadia,2015,2015,ID46,Philips Crypto 2 (Hitag2),Yes,"Keyline 884, JMA TRS-5000",OBD Add Key,Transponder key (keyed ignition)
GMC,Acadia,2016,2016,ID46,Philips Crypto 2 (Hitag2),Yes,"Keyline 884, JMA TRS-5000",OBD Add Key,Transponder key (keyed ignition)
GMC,Acadia,2017,2017,ID46E (NXP PCF7937E),Hitag2 Extended (Philips Crypto 2),Yes,"Keyline 884, JMA TRS-5000",OBD Add Key,Transponder key (push-to-start available on some trims)
GMC,Acadia,2018,2018,ID46E (NXP PCF7937E),Hitag2 Extended (Philips Crypto 2),Yes,"Keyline 884, JMA TRS-5000",OBD Add Key,Transponder key
GMC,Acadia,2019,2019,ID46E (NXP PCF7937E),Hitag2 Extended (Philips Crypto 2),Yes,"Keyline 884, JMA TRS-5000",OBD Add Key,Transponder key
GMC,Acadia,2020,2020,ID46E (NXP PCF7937E),Hitag2 Extended (Philips Crypto 2),Yes,"Keyline 884, JMA TRS-5000",OBD Add Key,Transponder key
GMC,Canyon,2008,2008,ID48,Megamos Crypto (ID48),Partially,Xhorse VVDI (96-bit clone),OBD Add Key,"Transponder key (first year with transponder, 2004-07 used Passlock)[4]"
GMC,Canyon,2009,2009,ID48,Megamos Crypto (ID48),Partially,Xhorse VVDI (96-bit clone),OBD Add Key,Transponder key
GMC,Canyon,2010,2010,ID48,Megamos Crypto (ID48),Partially,Xhorse VVDI,OBD Add Key,Transponder key
GMC,Canyon,2011,2011,ID48,Megamos Crypto (ID48),Partially,Xhorse VVDI,OBD Add Key,Transponder key
GMC,Canyon,2012,2012,ID48,Megamos Crypto (ID48),Partially,Xhorse VVDI,OBD Add Key,Transponder key
GMC,Canyon,2014,2014,ID46E (PCF7952E),Hitag2 Extended (Philips Crypto 2),Yes,"Keyline, JMA TRS-5000",OBD Add Key,Transponder key (new model)[5]
GMC,Canyon,2015,2015,ID46E (PCF7952E),Hitag2 Extended (Philips Crypto 2),Yes,"Keyline, JMA TRS-5000",OBD Add Key,Transponder key
GMC,Canyon,2016,2016,ID46E (PCF7952E),Hitag2 Extended (Philips Crypto 2),Yes,"Keyline, JMA TRS-5000",OBD Add Key,Transponder key
GMC,Canyon,2017,2017,ID46E (PCF7952E),Hitag2 Extended (Philips Crypto 2),Yes,"Keyline, JMA TRS-5000",OBD Add Key,Transponder key
GMC,Canyon,2018,2018,ID46E (PCF7952E),Hitag2 Extended (Philips Crypto 2),Yes,"Keyline, JMA TRS-5000",OBD Add Key,Transponder key
GMC,Canyon,2019,2019,ID46E (PCF7952E),Hitag2 Extended (Philips Crypto 2),Yes,"Keyline, JMA TRS-5000",OBD Add Key,Transponder key
GMC,Envoy,2006,2006,ID46,Philips Crypto 2 (Hitag2),Yes,"Keyline, JMA",OBD Add Key (PIN Required),First year with transponder (earlier used Passlock)[6]
GMC,Envoy,2007,2007,ID46,Philips Crypto 2 (Hitag2),Yes,"Keyline, JMA",OBD Add Key,Transponder key
GMC,Envoy,2008,2008,ID46,Philips Crypto 2 (Hitag2),Yes,"Keyline, JMA",OBD Add Key,Transponder key
GMC,Envoy,2009,2009,ID46,Philips Crypto 2 (Hitag2),Yes,"Keyline, JMA",OBD Add Key,Transponder key
GMC,Savana,2008,2008,ID46,Philips Crypto 2 (Hitag2),Yes,"Keyline, JMA",OBD Add Key,"Transponder key (first transponder in Savana, earlier VATS)[7][8]"
GMC,Savana,2009,2009,ID46,Philips Crypto 2 (Hitag2),Yes,"Keyline, JMA",OBD Add Key,Transponder key
GMC,Savana,2010,2010,ID46,Philips Crypto 2 (Hitag2),Yes,"Keyline, JMA",OBD Add Key,Transponder key
GMC,Savana,2011,2011,ID46,Philips Crypto 2 (Hitag2),Yes,"Keyline, JMA",OBD Add Key,Transponder key
GMC,Savana,2012,2012,ID46,Philips Crypto 2 (Hitag2),Yes,"Keyline, JMA",OBD Add Key,Transponder key
GMC,Savana,2013,2013,ID46,Philips Crypto 2 (Hitag2),Yes,"Keyline, JMA",OBD Add Key,Transponder key
GMC,Savana,2014,2014,ID46,Philips Crypto 2 (Hitag2),Yes,"Keyline, JMA",OBD Add Key,Transponder key
GMC,Savana,2015,2015,ID46,Philips Crypto 2 (Hitag2),Yes,"Keyline, JMA",OBD Add Key,Transponder key
GMC,Savana,2016,2016,ID46,Philips Crypto 2 (Hitag2),Yes,"Keyline, JMA",OBD Add Key,Transponder key
GMC,Sierra 1500,2007,2007,ID46,Philips Crypto 2 (Hitag2),Yes,"Keyline, JMA",OBD Add Key,Transponder key (new body style 2007)[9]
GMC,Sierra 1500,2008,2008,ID46,Philips Crypto 2 (Hitag2),Yes,"Keyline, JMA",OBD Add Key,Transponder key
GMC,Sierra 1500,2009,2009,ID46,Philips Crypto 2 (Hitag2),Yes,"Keyline, JMA",OBD Add Key,Transponder key
GMC,Sierra 1500,2010,2010,ID46,Philips Crypto 2 (Hitag2),Yes,"Keyline, JMA",OBD Add Key,Transponder key
GMC,Sierra 1500,2011,2011,ID46,Philips Crypto 2 (Hitag2),Yes,"Keyline, JMA",OBD Add Key,Transponder key
GMC,Sierra 1500,2012,2012,ID46,Philips Crypto 2 (Hitag2),Yes,"Keyline, JMA",OBD Add Key,Transponder key
GMC,Sierra 1500,2013,2013,ID46,Philips Crypto 2 (Hitag2),Yes,"Keyline, JMA",OBD Add Key,Transponder key
GMC,Sierra 1500,2014,2014,ID46E (PCF7952E),Hitag2 Extended (Philips Crypto 2),Yes,"Keyline, JMA",OBD Add Key,Transponder key (new model)[10]
GMC,Sierra 1500,2015,2015,ID46E (PCF7952E),Hitag2 Extended (Philips Crypto 2),Yes,"Keyline, JMA",OBD Add Key,Transponder key (keyed ignition; prox optional this year)
GMC,Sierra 1500,2016,2016,ID46E (PCF7952E),Hitag2 Extended (Philips Crypto 2),Yes,"Keyline, JMA",OBD Add Key,Transponder key (keyed ignition; prox optional)
GMC,Sierra 1500,2017,2017,ID46E (PCF7952E),Hitag2 Extended (Philips Crypto 2),Yes,"Keyline, JMA",OBD Add Key,Transponder key
GMC,Sierra 1500,2018,2018,ID46E (PCF7952E),Hitag2 Extended (Philips Crypto 2),Yes,"Keyline, JMA",OBD Add Key,Transponder key
GMC,Sierra 1500,2019,2019,ID46E (PCF7952E),Hitag2 Extended (Philips Crypto 2),Yes,"Keyline, JMA",OBD Add Key,Transponder key
GMC,Sierra 1500,2020,2020,ID46E (PCF7952E),Hitag2 Extended (Philips Crypto 2),Yes,"Keyline, JMA",OBD Add Key,Transponder key
GMC,Terrain,2010,2010,ID46E (PCF7937),Hitag2 Extended (Philips Crypto 2),Yes,"Keyline, JMA",OBD Add Key,"Transponder key (Terrain introduced 2010, ID46)[11]"
GMC,Terrain,2011,2011,ID46E (PCF7937),Hitag2 Extended (Philips Crypto 2),Yes,"Keyline, JMA",OBD Add Key,Transponder key
GMC,Terrain,2012,2012,ID46E (PCF7937),Hitag2 Extended (Philips Crypto 2),Yes,"Keyline, JMA",OBD Add Key,Transponder key
GMC,Terrain,2013,2013,ID46E (PCF7937),Hitag2 Extended (Philips Crypto 2),Yes,"Keyline, JMA",OBD Add Key,Transponder key
GMC,Terrain,2014,2014,ID46E (PCF7937),Hitag2 Extended (Philips Crypto 2),Yes,"Keyline, JMA",OBD Add Key,Transponder key
GMC,Terrain,2015,2015,ID46E (PCF7937),Hitag2 Extended (Philips Crypto 2),Yes,"Keyline, JMA",OBD Add Key,Transponder key
GMC,Terrain,2016,2016,ID46E (PCF7937),Hitag2 Extended (Philips Crypto 2),Yes,"Keyline, JMA",OBD Add Key,Transponder key
GMC,Terrain,2017,2017,ID46E (PCF7937),Hitag2 Extended (Philips Crypto 2),Yes,"Keyline, JMA",OBD Add Key,Transponder key
GMC,Yukon,2007,2007,ID46,Philips Crypto 2 (Hitag2),Yes,"Keyline, JMA",OBD Add Key,Transponder key (2007 new model)[12]
GMC,Yukon,2008,2008,ID46,Philips Crypto 2 (Hitag2),Yes,"Keyline, JMA",OBD Add Key,Transponder key
GMC,Yukon,2009,2009,ID46,Philips Crypto 2 (Hitag2),Yes,"Keyline, JMA",OBD Add Key,Transponder key
GMC,Yukon,2010,2010,ID46,Philips Crypto 2 (Hitag2),Yes,"Keyline, JMA",OBD Add Key,Transponder key
GMC,Yukon,2011,2011,ID46,Philips Crypto 2 (Hitag2),Yes,"Keyline, JMA",OBD Add Key,Transponder key
GMC,Yukon,2012,2012,ID46,Philips Crypto 2 (Hitag2),Yes,"Keyline, JMA",OBD Add Key,Transponder key
GMC,Yukon,2013,2013,ID46,Philips Crypto 2 (Hitag2),Yes,"Keyline, JMA",OBD Add Key,Transponder key
GMC,Yukon,2014,2014,ID46,Philips Crypto 2 (Hitag2),Yes,"Keyline, JMA",OBD Add Key,Transponder key
GMC,Yukon,2015,2015,ID46E (PCF7952E),Hitag2 Extended (Philips Crypto 2),Yes,"Keyline, JMA",OBD Add Key,Transponder key (keyed ignition; push-button start optional)[13]
GMC,Yukon,2016,2016,ID46E (PCF7952E),Hitag2 Extended (Philips Crypto 2),Yes,"Keyline, JMA",OBD Add Key,Transponder key (keyed ignition; push-button start optional)
GMC,Yukon,2017,2017,ID46E (PCF7952E),Hitag2 Extended (Philips Crypto 2),Yes,"Keyline, JMA",OBD Add Key,Transponder key
GMC,Yukon,2018,2018,ID46E (PCF7952E),Hitag2 Extended (Philips Crypto 2),Yes,"Keyline, JMA",OBD Add Key,Transponder key
GMC,Yukon,2019,2019,ID46E (PCF7952E),Hitag2 Extended (Philips Crypto 2),Yes,"Keyline, JMA",OBD Add Key,Transponder key
GMC,Yukon,2020,2020,ID46E (PCF7952E),Hitag2 Extended (Philips Crypto 2),Yes,"Keyline, JMA",OBD Add Key,Transponder key
Jeep,Cherokee,1998,1998,4D64,Texas Crypto (TIRIS 4D),Yes,JMA TPX2 clone,OBD Add Key,Transponder key (Sentry Key immobilizer introduced)[14]
Jeep,Cherokee,1999,1999,4D64,Texas Crypto (TIRIS 4D),Yes,JMA TPX2,OBD Add Key,Transponder key
Jeep,Cherokee,2000,2000,4D64,Texas Crypto (TIRIS 4D),Yes,JMA TPX2,OBD Add Key,Transponder key
Jeep,Cherokee,2001,2001,4D64,Texas Crypto (TIRIS 4D),Yes,JMA TPX2,OBD Add Key,Transponder key
Jeep,Cherokee,2002,2002,4D64,Texas Crypto (TIRIS 4D),Yes,JMA TPX2,OBD Add Key,Transponder key
Jeep,Cherokee,2003,2003,4D64,Texas Crypto (TIRIS 4D),Yes,JMA TPX2,OBD Add Key,Transponder key
Jeep,Cherokee,2004,2004,4D64,Texas Crypto (TIRIS 4D),Yes,JMA TPX2,OBD Add Key,Transponder key
Jeep,Cherokee,2005,2005,ID46,Philips Crypto 2 (Hitag2),Yes,"Silca GTI, CN3",OBD Add Key,Transponder key (new model WK)[15]
Jeep,Cherokee,2006,2006,ID46,Philips Crypto 2 (Hitag2),Yes,"Silca GTI, CN3",OBD Add Key,Transponder key
Jeep,Cherokee,2007,2007,ID46,Philips Crypto 2 (Hitag2),Yes,"Silca GTI, CN3",OBD Add Key,Transponder key
Jeep,Cherokee,2014,2014,ID4A (PCF7953),Hitag AES (128-bit),No,,EEPROM AKL,Smart key (push-button start)[16]
Jeep,Cherokee,2015,2015,ID4A (PCF7953),Hitag AES (128-bit),No,,EEPROM AKL,Smart key (push-button start)[16]
Jeep,Cherokee,2016,2016,ID4A (PCF7953),Hitag AES (128-bit),No,,EEPROM AKL,Smart key (push-button start)
Jeep,Cherokee,2017,2017,ID4A (PCF7953),Hitag AES (128-bit),No,,EEPROM AKL,Smart key (push-button start)
Jeep,Commander,2006,2006,ID46,Philips Crypto 2 (Hitag2),Yes,CN3 clone,OBD Add Key,Transponder key (standard blade key ignition)[17]
Jeep,Commander,2007,2007,ID46,Philips Crypto 2 (Hitag2),Yes,CN3 clone,OBD Add Key,Transponder key
Jeep,Commander,2008,2008,ID46 (PCF7961),Philips Crypto 2 (Hitag2),Yes,CN3 clone,OBD Add Key,Fobik remote key (PEPS fob insert)[18]
Jeep,Commander,2009,2009,ID46 (PCF7961),Philips Crypto 2 (Hitag2),Yes,CN3 clone,OBD Add Key,Fobik style key
Jeep,Commander,2010,2010,ID46 (PCF7961),Philips Crypto 2 (Hitag2),Yes,CN3 clone,OBD Add Key,Fobik style key
Jeep,Compass,2007,2007,ID46,Philips Crypto 2 (Hitag2),Yes,"Silca GTI, CN3",OBD Add Key,Transponder key[19]
Jeep,Compass,2008,2008,ID46,Philips Crypto 2 (Hitag2),Yes,"Silca GTI, CN3",OBD Add Key,Transponder key
Jeep,Compass,2009,2009,ID46,Philips Crypto 2 (Hitag2),Yes,"Silca GTI, CN3",OBD Add Key,Transponder key
Jeep,Compass,2010,2010,ID46,Philips Crypto 2 (Hitag2),Yes,"Silca GTI, CN3",OBD Add Key,Transponder key
Jeep,Compass,2011,2011,ID46,Philips Crypto 2 (Hitag2),Yes,"Silca GTI, CN3",OBD Add Key,Transponder key
Jeep,Compass,2012,2012,ID46,Philips Crypto 2 (Hitag2),Yes,"Silca GTI, CN3",OBD Add Key,Transponder key
Jeep,Compass,2013,2013,ID46,Philips Crypto 2 (Hitag2),Yes,"Silca GTI, CN3",OBD Add Key,Transponder key
Jeep,Compass,2014,2014,ID46,Philips Crypto 2 (Hitag2),Yes,"Silca GTI, CN3",OBD Add Key,Transponder key
Jeep,Compass,2015,2015,ID46,Philips Crypto 2 (Hitag2),Yes,"Silca GTI, CN3",OBD Add Key,Transponder key
Jeep,Compass,2016,2016,ID46,Philips Crypto 2 (Hitag2),Yes,"Silca GTI, CN3",OBD Add Key,Transponder key
Jeep,Compass,2017,2017,ID4A (PCF7953),Hitag AES,No,,EEPROM AKL,Smart key (push start)[20]
Jeep,Compass,2018,2018,ID4A (PCF7953),Hitag AES,No,,EEPROM AKL,Smart key (push start)
Jeep,Compass,2019,2019,ID4A (PCF7953),Hitag AES,No,,EEPROM AKL,Smart key (push start)
Jeep,Compass,2020,2020,ID4A (PCF7953),Hitag AES,No,,EEPROM AKL,Smart key (push start)
Jeep,Compass,2021,2021,ID4A (PCF7953),Hitag AES,No,,EEPROM AKL,Smart key (push start)
Jeep,Gladiator,2018,2018,ID4A (PCF7939),Hitag AES,No,,EEPROM AKL,"Smart key (push start, same as Wrangler)[21]"
Jeep,Gladiator,2019,2019,ID4A (PCF7939),Hitag AES,No,,EEPROM AKL,Smart key (push start)
Jeep,Gladiator,2020,2020,ID4A (PCF7939),Hitag AES,No,,EEPROM AKL,Smart key (push start)
Jeep,Gladiator,2021,2021,ID4A (PCF7939),Hitag AES,No,,EEPROM AKL,Smart key (push start)
Jeep,Grand Cherokee,1998,1998,4D64,Texas Crypto,Yes,JMA TP21/TPX2 clone,OBD Add Key,Transponder key (first gen Grand Cherokee with SKIM)[22]
Jeep,Grand Cherokee,1999,1999,4D64,Texas Crypto,Yes,JMA TP21/TPX2,OBD Add Key,Transponder key
Jeep,Grand Cherokee,2000,2000,4D64,Texas Crypto,Yes,JMA TP21/TPX2,OBD Add Key,Transponder key
Jeep,Grand Cherokee,2001,2001,4D64,Texas Crypto,Yes,JMA TP21/TPX2,OBD Add Key,Transponder key
Jeep,Grand Cherokee,2002,2002,4D64,Texas Crypto,Yes,JMA TP21/TPX2,OBD Add Key,Transponder key
Jeep,Grand Cherokee,2003,2003,4D64,Texas Crypto,Yes,JMA TP21/TPX2,OBD Add Key,Transponder key
Jeep,Grand Cherokee,2004,2004,ID46,Philips Crypto 2,Yes,CN3 clone,OBD Add Key,Transponder key (new WK model)[23]
Jeep,Grand Cherokee,2005,2005,ID46,Philips Crypto 2,Yes,CN3 clone,OBD Add Key,Transponder key
Jeep,Grand Cherokee,2006,2006,ID46,Philips Crypto 2,Yes,CN3 clone,OBD Add Key,Transponder key
Jeep,Grand Cherokee,2007,2007,ID46,Philips Crypto 2,Yes,CN3 clone,OBD Add Key,Transponder key
Jeep,Grand Cherokee,2008,2008,ID46 (PCF7961),Philips Crypto 2,Yes,CN3 clone,OBD Add Key,Fobik key (remote integrated fob)[24]
Jeep,Grand Cherokee,2009,2009,ID46 (PCF7961),Philips Crypto 2,Yes,CN3 clone,OBD Add Key,Fobik key
Jeep,Grand Cherokee,2010,2010,ID46 (PCF7961),Philips Crypto 2,Yes,CN3 clone,OBD Add Key,Fobik key
Jeep,Grand Cherokee,2011,2011,ID46 (PCF7961),Philips Crypto 2,Yes,CN3 clone,OBD Add Key,Fobik key
Jeep,Grand Cherokee,2012,2012,ID46 (PCF7961),Philips Crypto 2,Yes,CN3 clone,OBD Add Key,Fobik key
Jeep,Grand Cherokee,2013,2013,ID46 (PCF7961),Philips Crypto 2,Yes,CN3 clone,OBD Add Key,Fobik key
Jeep,Grand Cherokee,2014,2014,ID4A (PCF7953),Hitag AES,No,,EEPROM AKL,Smart key (push-button start)[25]
Jeep,Grand Cherokee,2015,2015,ID4A (PCF7953),Hitag AES,No,,EEPROM AKL,Smart key (push-button start)
Jeep,Grand Cherokee,2016,2016,ID4A (PCF7953),Hitag AES,No,,EEPROM AKL,Smart key (push-button start)
Jeep,Grand Cherokee,2017,2017,ID4A (PCF7953),Hitag AES,No,,EEPROM AKL,Smart key (push-button start)
Jeep,Grand Cherokee,2018,2018,ID4A (PCF7953),Hitag AES,No,,EEPROM AKL,Smart key (push-button start)
Jeep,Grand Cherokee,2019,2019,ID4A (PCF7953),Hitag AES,No,,EEPROM AKL,Smart key (push-button start)
Jeep,Grand Cherokee,2020,2020,ID4A (PCF7953),Hitag AES,No,,EEPROM AKL,Smart key (push-button start)
Jeep,Grand Cherokee,2021,2021,ID4A (PCF7953),Hitag AES,No,,EEPROM AKL,Smart key (push-button start)
Jeep,Liberty,2002,2002,4D64,Texas Crypto,Yes,JMA TP21,OBD Add Key,"Transponder key (Liberty introduced 2002, Sentry Key)[26]"
Jeep,Liberty,2003,2003,4D64,Texas Crypto,Yes,JMA TP21,OBD Add Key,Transponder key
Jeep,Liberty,2004,2004,4D64,Texas Crypto,Yes,JMA TP21,OBD Add Key,Transponder key
Jeep,Liberty,2005,2005,ID46,Philips Crypto 2,Yes,CN3 clone,OBD Add Key,Transponder key
Jeep,Liberty,2006,2006,ID46,Philips Crypto 2,Yes,CN3 clone,OBD Add Key,Transponder key
Jeep,Liberty,2007,2007,ID46,Philips Crypto 2,Yes,CN3 clone,OBD Add Key,Transponder key
Jeep,Liberty,2008,2008,ID46 (PCF7941AT),Philips Crypto 2,Yes,CN3 clone,OBD Add Key,Fobik key (first year Liberty used Fobik)[27]
Jeep,Liberty,2009,2009,ID46 (PCF7941AT),Philips Crypto 2,Yes,CN3 clone,OBD Add Key,Fobik key
Jeep,Liberty,2010,2010,ID46 (PCF7941AT),Philips Crypto 2,Yes,CN3 clone,OBD Add Key,Fobik key
Jeep,Liberty,2011,2011,ID46 (PCF7941AT),Philips Crypto 2,Yes,CN3 clone,OBD Add Key,Fobik key
Jeep,Liberty,2012,2012,ID46 (PCF7941AT),Philips Crypto 2,Yes,CN3 clone,OBD Add Key,Fobik key
Jeep,Patriot,2007,2007,ID46,Philips Crypto 2,Yes,CN3 clone,OBD Add Key,Transponder key (chip key Y164)[28]
Jeep,Patriot,2008,2008,ID46,Philips Crypto 2,Yes,CN3 clone,OBD Add Key,Transponder key
Jeep,Patriot,2009,2009,ID46,Philips Crypto 2,Yes,CN3 clone,OBD Add Key,Transponder key
Jeep,Patriot,2010,2010,ID46,Philips Crypto 2,Yes,CN3 clone,OBD Add Key,Transponder key
Jeep,Patriot,2011,2011,ID46,Philips Crypto 2,Yes,CN3 clone,OBD Add Key,Transponder key
Jeep,Patriot,2012,2012,ID46,Philips Crypto 2,Yes,CN3 clone,OBD Add Key,Transponder key
Jeep,Patriot,2013,2013,ID46,Philips Crypto 2,Yes,CN3 clone,OBD Add Key,Transponder key
Jeep,Patriot,2014,2014,ID46,Philips Crypto 2,Yes,CN3 clone,OBD Add Key,Transponder key
Jeep,Patriot,2015,2015,ID46,Philips Crypto 2,Yes,CN3 clone,OBD Add Key,Transponder key
Jeep,Patriot,2016,2016,ID46,Philips Crypto 2,Yes,CN3 clone,OBD Add Key,Transponder key
Jeep,Patriot,2017,2017,ID46,Philips Crypto 2,Yes,CN3 clone,OBD Add Key,Transponder key
Jeep,Renegade,2015,2015,ID88,Megamos Crypto AES (Hitag AES),No,,EEPROM AKL,Transponder key (flip key style)[29]
Jeep,Renegade,2016,2016,ID88,Megamos Crypto AES (Hitag AES),No,,EEPROM AKL,Transponder key (flip key style)
Jeep,Renegade,2017,2017,ID88,Megamos Crypto AES (Hitag AES),No,,EEPROM AKL,Transponder key (flip key style)
Jeep,Renegade,2018,2018,ID88,Megamos Crypto AES (Hitag AES),No,,EEPROM AKL,Transponder key (flip key style)
Jeep,Renegade,2019,2019,ID88,Megamos Crypto AES (Hitag AES),No,,EEPROM AKL,Transponder key (flip key style)
